Country,City,University Name,Program Name,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
United States,Indiana,Indiana University Bloomington,Secure Computing,"3,772,054 BDT / year",2 years,4,195,1%,https://www.mastersportal.com/studies/96580/secure-computing.html?ref=search_card
United States,Massachusetts,University of Massachusetts Lowell,Computer Science,"3,394,015 BDT / year",1 year,5,3,5%,https://www.mastersportal.com/studies/97731/computer-science.html?ref=search_card
Switzerland,Basel,University of Applied Sciences and Arts Northwestern Switzerland,Business Information Systems,"2,272,537 BDT / year",1½ year,3.9,8,,https://www.mastersportal.com/studies/93874/business-information-systems.html?ref=search_card
United States,Florida,University of Florida,Information Systems and Operations Management,"3,691,448 BDT / year",2 years,4.3,103,1%,https://www.mastersportal.com/studies/95892/information-systems-and-operations-management.html?ref=search_card
United States,Illinois,Southern Illinois University,Computer Science,"1,725,550 BDT / year",1 year,4,3,6%,https://www.mastersportal.com/studies/95232/computer-science.html?ref=search_card
United Kingdom,England,University of Lincoln,Computer Science,"2,951,735 BDT / year",1 year,4.1,54,5%,https://www.mastersportal.com/studies/45628/computer-science.html?ref=search_card
United Kingdom,England,"Birkbeck, University of London",Computer Science,"3,262,951 BDT / year",1 year,4,32,3%,https://www.mastersportal.com/studies/76019/computer-science.html?ref=search_card
Netherlands,Den Haag,"International Business School, The Hague Netherlands",Business Information Technology Management,"1,198,282 BDT / year",2 years,2.7,11,,https://www.mastersportal.com/studies/84971/business-information-technology-management.html?ref=search_card
United Kingdom,England,King's College London,Data Science,"6,063,891 BDT / year",1 year,4.2,141,0.50%,https://www.mastersportal.com/studies/82623/data-science.html?ref=search_card
United Kingdom,England,University of Oxford,Mathematics and Foundations of Computer Science,"6,617,341 BDT / year",1 year,4.2,128,0.10%,https://www.mastersportal.com/studies/92108/mathematics-and-foundations-of-computer-science.html?ref=search_card
Denmark,Aarhus,Aarhus University,Computer Engineering,"2,297,883 BDT / year",2 years,3.9,209,0.50%,https://www.mastersportal.com/studies/99812/computer-engineering.html?ref=search_card
United States,New York,Rochester Institute of Technology,Professional Studies,"7,565,913 BDT / year",2 years,4.3,65,4%,https://www.mastersportal.com/studies/99531/professional-studies.html?ref=search_card
United States,Ohio,The University of Akron,Information Systems Management,"2,947,376 BDT / year",1 year,4.6,5,8%,https://www.mastersportal.com/studies/99862/information-systems-management.html?ref=search_card
United Kingdom,England,Imperial,Computing (Security and Reliability),"7,026,413 BDT / year",1 year,4.3,56,0.10%,https://www.mastersportal.com/studies/84470/computing.html?ref=search_card
Switzerland,Zürich,University of Zurich,Information Systems,"218,164 BDT / year",1½ year,4.2,56,2%,https://www.mastersportal.com/studies/84482/information-systems.html?ref=search_card
United States,Pennsylvania,Temple University,Health Informatics,"2,337,321 BDT / year",2½ years,4.2,75,2%,https://www.mastersportal.com/studies/88348/health-informatics.html?ref=search_card
United Kingdom,Scotland,Glasgow Caledonian University,Applied Instrumentation and Control,"2,598,810 BDT / year",1 year,4.4,95,5%,https://www.mastersportal.com/studies/27608/applied-instrumentation-and-control.html?ref=search_card
Germany,Lemgo,Ostwestfalen - Lippe University of Applied Sciences,Information Technology,Free,2 years,4.7,3,,https://www.mastersportal.com/studies/14854/information-technology.html?ref=search_card
Sweden,Göteborg,Chalmers University of Technology,Computer Systems and Networks,"2,053,245 BDT / year",2 years,3.7,26,2%,https://www.mastersportal.com/studies/127/computer-systems-and-networks.html?ref=search_card
Sweden,Göteborg,Chalmers University of Technology,Software Engineering and Technology,"2,053,245 BDT / year",2 years,3.7,26,2%,https://www.mastersportal.com/studies/133/software-engineering-and-technology.html?ref=search_card
Netherlands,Eindhoven,Eindhoven University of Technology (TU/e),Computer Science and Engineering - Mastertrack Cybersecurity,"3,059,144 BDT / year",2 years,4.2,68,2%,https://www.mastersportal.com/studies/23620/computer-science-and-engineering-mastertrack-cybersecurity.html?ref=search_card
Multiple locations,N/A,University of Liechtenstein,Information Systems,"378,756 BDT / year",2 years,4.5,10,,https://www.mastersportal.com/studies/25716/information-systems.html?ref=search_card
United Kingdom,England,University of Buckingham,Innovative Computing,"2,887,567 BDT / year",1 year,3.9,17,,https://www.mastersportal.com/studies/15247/innovative-computing.html?ref=search_card
United Kingdom,England,Middlesex University,Computer Science,"2,887,567 BDT / year",1 year,4.1,143,5%,https://www.mastersportal.com/studies/8460/computer-science.html?ref=search_card
Belgium,Gent,Ghent University,Photonics Engineering,"976,812 BDT / year",2 years,4.1,138,0.50%,https://www.mastersportal.com/studies/8678/photonics-engineering.html?ref=search_card
United Kingdom,England,Coventry University,Computer Science,"2,983,819 BDT / year",1 year,4.1,593,4%,https://www.mastersportal.com/studies/7163/computer-science.html?ref=search_card
Sweden,Stockholm,Stockholm University,Strategic Information Systems Management,"1,732,425 BDT / year",2 years,3.9,98,1%,https://www.mastersportal.com/studies/22819/strategic-information-systems-management.html?ref=search_card
Sweden,Stockholm,Karolinska Institute,Joint Master's Programme in Health Informatics,"2,117,409 BDT / year",2 years,4.3,20,2%,https://www.mastersportal.com/studies/19941/joint-masters-programme-in-health-informatics.html?ref=search_card
Netherlands,Rotterdam,Erasmus University Rotterdam,Business Information Management,"3,467,970 BDT / year",1 year,4.2,117,0.50%,https://www.mastersportal.com/studies/28226/business-information-management.html?ref=search_card
United Kingdom,England,University of Kent,Artificial Intelligence,"3,769,879 BDT / year",1 year,4.1,73,2%,https://www.mastersportal.com/studies/30234/artificial-intelligence.html?ref=search_card
Multiple locations,N/A,SRH University Heidelberg,Applied Computer Science,"1,959,544 BDT / year",2 years,4.3,62,,https://www.mastersportal.com/studies/28043/applied-computer-science.html?ref=search_card
United Kingdom,England,University of Leeds,Advanced Computer Science (Data Analytics),,1 year,4.4,72,0.50%,https://www.mastersportal.com/studies/36865/advanced-computer-science.html?ref=search_card
Belgium,Antwerpen,University of Antwerp,Computer Science - Software Engineering,"817,651 BDT / year",2 years,4.3,71,2%,https://www.mastersportal.com/studies/35642/computer-science-software-engineering.html?ref=search_card
Sweden,Skövde,University of Skövde,Serious Games,"1,732,425 BDT / year",1 year,4.5,23,,https://www.mastersportal.com/studies/31833/serious-games.html?ref=search_card
Belgium,Antwerpen,University of Antwerp,Computer Science - Data Science and Artificial Intelligence,"817,651 BDT / year",2 years,4.3,71,2%,https://www.mastersportal.com/studies/35833/computer-science-data-science-and-artificial-intelligence.html?ref=search_card
United Kingdom,Wales,Swansea University,Computer Science,"3,585,396 BDT / year",1 year,4.2,113,2%,https://www.mastersportal.com/studies/44436/computer-science.html?ref=search_card
United States,Utah,University of Utah,Information Systems,"4,593,791 BDT / year",1 year,4.4,16,2%,https://www.mastersportal.com/studies/65075/information-systems.html?ref=search_card
United States,California,"University of California, Irvine (UCI)",Software Engineering,"3,413,371 BDT / year",1 year,4.4,7,1%,https://www.mastersportal.com/studies/65577/software-engineering.html?ref=search_card
United States,California,Santa Clara University,Business Analytics,"5,865,353 BDT / year","1 year, 4 months",4.5,6,9%,https://www.mastersportal.com/studies/64573/business-analytics.html?ref=search_card
United States,Ohio,The University of Akron,Information Systems Management,"2,947,376 BDT / year",1 year,4.6,5,8%,https://www.mastersportal.com/studies/99862/information-systems-management.html?ref=search_card
Denmark,Aarhus,Aarhus University,Computer Engineering,"2,297,883 BDT / year",2 years,3.9,209,0.50%,https://www.mastersportal.com/studies/99812/computer-engineering.html?ref=search_card
United States,New York,Rochester Institute of Technology,Professional Studies,"7,565,913 BDT / year",2 years,4.3,65,4%,https://www.mastersportal.com/studies/99531/professional-studies.html?ref=search_card
United States,Arkansas,University of Arkansas,Computer Engineering,"3,675,768 BDT / year",1 year,4.2,5,3%,https://www.mastersportal.com/studies/101901/computer-engineering.html?ref=search_card
United States,Michigan,Michigan State University,Business Data Science and Analytics,"4,777,543 BDT / year",1 year,4,28,1%,https://www.mastersportal.com/studies/97884/business-data-science-and-analytics.html?ref=search_card
United Kingdom,Wales,University of South Wales,Applied Cyber Security,"2,711,105 BDT / year",1 year,4.3,116,8%,https://www.mastersportal.com/studies/105068/applied-cyber-security.html?ref=search_card
United States,Texas,The University of Texas at San Antonio,Data Analytics,"3,446,446 BDT / year",1 year,4.4,16,3%,https://www.mastersportal.com/studies/103175/data-analytics.html?ref=search_card
United States,Texas,The University of Texas at San Antonio,Information Technology,"3,446,446 BDT / year",1 year,4.4,16,3%,https://www.mastersportal.com/studies/103574/information-technology.html?ref=search_card
United States,Indiana,Indiana University Bloomington,Secure Computing,"3,772,054 BDT / year",2 years,4,195,1%,https://www.mastersportal.com/studies/96580/secure-computing.html?ref=search_card
United States,Florida,University of Florida,Information Systems and Operations Management,"3,691,448 BDT / year",2 years,4.3,103,1%,https://www.mastersportal.com/studies/95892/information-systems-and-operations-management.html?ref=search_card
United States,Illinois,Southern Illinois University,Computer Science,"1,725,550 BDT / year",1 year,4,3,6%,https://www.mastersportal.com/studies/95232/computer-science.html?ref=search_card
United Kingdom,England,University of Oxford,Mathematics and Foundations of Computer Science,"6,617,341 BDT / year",1 year,4.2,128,0.10%,https://www.mastersportal.com/studies/92108/mathematics-and-foundations-of-computer-science.html?ref=search_card
United States,Massachusetts,University of Massachusetts Lowell,Computer Science,"3,394,015 BDT / year",1 year,5,3,5%,https://www.mastersportal.com/studies/97731/computer-science.html?ref=search_card
Switzerland,Basel,University of Applied Sciences and Arts Northwestern Switzerland,Business Information Systems,"2,272,537 BDT / year",1½ year,3.9,8,,https://www.mastersportal.com/studies/93874/business-information-systems.html?ref=search_card
Netherlands,Amsterdam,Vrije Universiteit Amsterdam,Computer Science (Joint Degree UvA-VU) - Foundations of Computing and Concurrency,"3,404,531 BDT / year",2 years,4.2,149,1%,https://www.mastersportal.com/studies/155386/computer-science-foundations-of-computing-and-concurrency.html?ref=search_card
Russia,Saint Petersburg,ITMO University,Information Security,"881,763 BDT / year",2 years,4,34,4%,https://www.mastersportal.com/studies/153934/information-security.html?ref=search_card
Finland,Helsinki,Aalto University,"Computer, Communication and Information Sciences - Communications Engineering","2,396,565 BDT / year",2 years,3.8,242,2%,https://www.mastersportal.com/studies/154678/computer-communication-and-information-sciences-communications-engineering.html?ref=search_card
United States,Colorado,University of Denver,Information and Communications Technology - Information Systems Security,"4,903,964 BDT / year",1½ year,4.7,7,5%,https://www.mastersportal.com/studies/128556/information-and-communications-technology-information-systems-security.html?ref=search_card
United States,Colorado,University of Denver,Information and Communications Technology,"4,903,964 BDT / year",1½ year,4.7,7,5%,https://www.mastersportal.com/studies/128605/information-and-communications-technology.html?ref=search_card
United Kingdom,England,University of Warwick,Research in Computer Science,"4,158,096 BDT / year",1 year,4.4,140,0.50%,https://www.mastersportal.com/studies/134968/research-in-computer-science.html?ref=search_card
Canada,Saskatoon,University of Saskatchewan,Geological Sciences,"1,062,839 BDT / year",2 years,4.1,61,2%,https://www.mastersportal.com/studies/128353/geological-sciences.html?ref=search_card
United States,California,San Diego State University,Computer Science,"1,255,881 BDT / year",1 year,4.4,40,4%,https://www.mastersportal.com/studies/127018/computer-science.html?ref=search_card
United States,New York,The New School,Data Visualization,"7,567,873 BDT / year",1 year,4.3,18,8%,https://www.mastersportal.com/studies/129969/data-visualization.html?ref=search_card
United States,Ohio,Ohio University,Geological Sciences,"4,090,312 BDT / year",1 year,4.5,34,3%,https://www.mastersportal.com/studies/126215/geological-sciences.html?ref=search_card
United States,Michigan,Oakland University,Computer Science,"2,541,285 BDT / year",1 year,3.5,4,9%,https://www.mastersportal.com/studies/137946/computer-science.html?ref=search_card
Germany,Kamp-Lintfort,Rhine-Waal University of Applied Sciences,Information Engineering and Computer Science,Free,1½ year,4.1,32,,https://www.mastersportal.com/studies/131257/information-engineering-and-computer-science.html?ref=search_card
United States,Virginia,Old Dominion University,Modeling & Simulation,"4,906,169 BDT / year",1 year,4.3,13,5%,https://www.mastersportal.com/studies/131985/modeling-simulation.html?ref=search_card
United States,California,Stanford University,Symbolic Systems,"3,243,829 BDT / year",2 years,4.1,56,0.10%,https://www.mastersportal.com/studies/135794/symbolic-systems.html?ref=search_card
United States,North Carolina,University of North Carolina Chapel Hill,Computer Science,"3,604,227 BDT / year",1 year,4.5,13,0.50%,https://www.mastersportal.com/studies/117282/computer-science.html?ref=search_card
United States,Mississippi,Villanova University,Computer Science,"3,509,657 BDT / year",1 year,3.9,11,7%,https://www.mastersportal.com/studies/111552/computer-science.html?ref=search_card
United States,Utah,Brigham Young University,Computer Science,"2,124,659 BDT / year",1 year,4.7,42,5%,https://www.mastersportal.com/studies/117866/computer-science.html?ref=search_card
United States,Florida,Florida Atlantic University,Computer Engineering,"2,424,542 BDT / year",1 year,4.2,29,5%,https://www.mastersportal.com/studies/114697/computer-engineering.html?ref=search_card
United States,Illinois,DePaul University,Game Programming,"6,261,766 BDT / year",1 year,4,21,9%,https://www.mastersportal.com/studies/132521/game-programming.html?ref=search_card
United States,Arizona,Arizona State University,Information Technology,"3,717,663 BDT / year",1 year,4.3,242,1%,https://www.mastersportal.com/studies/131813/information-technology.html?ref=search_card
United States,New Mexico,New Mexico Institute of Mining and Technology,Computer Science,"3,519,457 BDT / year",2 years,4.2,6,,https://www.mastersportal.com/studies/131613/computer-science.html?ref=search_card
United States,Michigan,Wayne State University,Computer Science,"7,118,539 BDT / year",1 year,4,5,3%,https://www.mastersportal.com/studies/117872/computer-science.html?ref=search_card
United States,Ohio,The Ohio State University,Computer Science and Engineering,"5,428,024 BDT / year",1 year,4.5,34,2%,https://www.mastersportal.com/studies/72917/computer-science-and-engineering.html?ref=search_card
United States,Washington,University of Washington,Business Analytics,"11,279,901 BDT / year",1 year,4.2,59,0.50%,https://www.mastersportal.com/studies/479082/business-analytics.html?ref=search_card
Germany,Frankfurt am Main,Frankfurt School of Finance and Management,Artificial Intelligence and Data Science,"2,502,295 BDT / year",2 years,4.5,50,,https://www.mastersportal.com/studies/487312/artificial-intelligence-and-data-science.html?ref=search_card
United States,Wisconsin,University of Wisconsin Madison,Data Science,"3,152,198 BDT / year",1 year,4.3,13,0.50%,https://www.mastersportal.com/studies/472757/data-science.html?ref=search_card
United States,Colorado,University of Colorado Denver,Computer Science,"2,967,589 BDT / year",2 years,4.4,13,3%,https://www.mastersportal.com/studies/67800/computer-science.html?ref=search_card
United States,New York,Rensselaer Polytechnic Institute,Computer Science,"7,889,071 BDT / year",1 year,,,3%,https://www.mastersportal.com/studies/67621/computer-science.html?ref=search_card
United States,California,"University of California, Santa Cruz",Electrical and Computer Engineering,"1,850,012 BDT / year",1 year,4.6,12,2%,https://www.mastersportal.com/studies/67983/electrical-and-computer-engineering.html?ref=search_card
United States,New York,SUNY - College of Environmental Science and Forestry,Geospatial Information Science and Engineering,"3,368,780 BDT / year",2 years,4,1,8%,https://www.mastersportal.com/studies/68635/geospatial-information-science-and-engineering.html?ref=search_card
Greece,Thessaloníki,International Hellenic University,e-Business and Digital Marketing,"347,643 BDT / year",1½ year,3.9,72,,https://www.mastersportal.com/studies/69275/e-business-and-digital-marketing.html?ref=search_card
Greece,Thessaloníki,International Hellenic University,Mobile and Web Computing,"272,503 BDT / year",1½ year,3.9,72,,https://www.mastersportal.com/studies/69277/mobile-and-web-computing.html?ref=search_card
United States,Colorado,University of Colorado Denver,Business Analytics,"3,013,527 BDT / year",2 years,4.4,13,3%,https://www.mastersportal.com/studies/67728/business-analytics.html?ref=search_card
United States,Utah,University of Utah,Information Systems,"4,593,791 BDT / year",1 year,4.4,16,2%,https://www.mastersportal.com/studies/65075/information-systems.html?ref=search_card
United States,California,"University of California, Irvine (UCI)",Software Engineering,"3,413,371 BDT / year",1 year,4.4,7,1%,https://www.mastersportal.com/studies/65577/software-engineering.html?ref=search_card
United States,New York,Rochester Institute of Technology,Applied Statistics,"7,565,913 BDT / year",2 years,4.3,65,4%,https://www.mastersportal.com/studies/64387/applied-statistics.html?ref=search_card
United States,South Carolina,Clemson University,Computer Engineering,"3,586,342 BDT / year",2 years,4,10,4%,https://www.mastersportal.com/studies/61449/computer-engineering.html?ref=search_card
United States,Rhode Island,Brown University,Computer Science,"1,299,247 BDT / module",1 year,4.6,16,0.50%,https://www.mastersportal.com/studies/61115/computer-science.html?ref=search_card
United States,New York,New York University,Applied Urban Science and Informatics,"5,353,788 BDT / year",2 years,4.3,124,0.50%,https://www.mastersportal.com/studies/63209/applied-urban-science-and-informatics.html?ref=search_card
United States,New Jersey,Rutgers University,Computer Science,"4,583,501 BDT / year",2 years,4.2,64,2%,https://www.mastersportal.com/studies/64093/computer-science.html?ref=search_card
United States,Michigan,University of Michigan,Survey and Data Science,"7,427,732 BDT / year",2 years,4.2,85,0.50%,https://www.mastersportal.com/studies/64110/survey-and-data-science.html?ref=search_card
United States,Michigan,University of Michigan,Health Informatics,"6,826,741 BDT / year",2 years,4.2,85,0.50%,https://www.mastersportal.com/studies/64087/health-informatics.html?ref=search_card
United States,California,Santa Clara University,Business Analytics,"5,865,353 BDT / year","1 year, 4 months",4.5,6,9%,https://www.mastersportal.com/studies/64573/business-analytics.html?ref=search_card
United Kingdom,England,Royal Holloway University of London,Information Security,"4,989,074 BDT / year",1 year,4.4,66,3%,https://www.mastersportal.com/studies/56499/information-security.html?ref=search_card
United States,Wisconsin,University of Wisconsin Milwaukee,Computer Science,"3,204,506 BDT / year",2 years,3.9,15,5%,https://www.mastersportal.com/studies/61691/computer-science.html?ref=search_card
United States,Florida,University of Florida,Computer Engineering,"3,691,448 BDT / year",2 years,4.3,103,1%,https://www.mastersportal.com/studies/56167/computer-engineering.html?ref=search_card
Germany,Saarbrücken,Saarland University,Media Informatics,Free,2 years,4,22,4%,https://www.mastersportal.com/studies/46012/media-informatics.html?ref=search_card
Switzerland,Zürich,University of Zurich,Geography - Remote Sensing,"218,164 BDT / year",1½ year,4.2,56,2%,https://www.mastersportal.com/studies/84942/geography-remote-sensing.html?ref=search_card
United States,New York,State University of New York Health Science Center at Brooklyn,Health Informatics,"1,662,340 BDT / year",2 years,3.8,4,7%,https://www.mastersportal.com/studies/455928/health-informatics.html?ref=search_card
Multiple locations,N/A,The University of Law Business School,Cyber Security Management with Professional Practice,"2,999,861 BDT / year",2 years,4.4,17,,https://www.mastersportal.com/studies/458606/cyber-security-management-with-professional-practice.html?ref=search_card
United States,Florida,Florida Atlantic University,Artificial Intelligence (Professional),"1,960,018 BDT / year",1½ year,4.2,29,5%,https://www.mastersportal.com/studies/462289/artificial-intelligence.html?ref=search_card
Canada,Kingston,Queen's University,Computer Engineering,"1,123,320 BDT / year",4 years,4.2,43,2%,https://www.mastersportal.com/studies/468985/computer-engineering.html?ref=search_card
United Kingdom,England,Durham University,Scientific Computing and Data Analysis (Computer Vision and Robotics),"5,454,293 BDT / year",1 year,4.3,42,1%,https://www.mastersportal.com/studies/471009/scientific-computing-and-data-analysis.html?ref=search_card
United States,Florida,University of Central Florida,Data Analytics - Artificial Intelligence,"2,816,055 BDT / year",1 year,3.9,54,3%,https://www.mastersportal.com/studies/464878/data-analytics-artificial-intelligence.html?ref=search_card
Denmark,Copenhagen,Aalborg University,Software,"2,162,547 BDT / year",2 years,3.7,519,2%,https://www.mastersportal.com/studies/466056/software.html?ref=search_card
United Kingdom,England,"City, University of London",User Experience Engineering,"3,208,408 BDT / year","1 year, 3 months",4.2,86,5%,https://www.mastersportal.com/studies/470402/user-experience-engineering.html?ref=search_card
United States,New Jersey,Stevens Institute of Technology,Information Systems and Sports Technologies - Digital Transformation (Dual),"5,633,336 BDT / year","1 year, 4 months",4.2,13,4%,https://www.mastersportal.com/studies/474965/information-systems-and-sports-technologies-digital-transformation.html?ref=search_card
France,Lyon,Jean Moulin University Lyon III,Human and System Intelligence for Management,,2 years,3.9,31,9%,https://www.mastersportal.com/studies/457490/human-and-system-intelligence-for-management.html?ref=search_card
Netherlands,Delft,Delft University of Technology (TU Delft),Data Science and Artificial Intelligence Technology,"3,142,319 BDT / year",2 years,4.2,64,0.50%,https://www.mastersportal.com/studies/475584/data-science-and-artificial-intelligence-technology.html?ref=search_card
United States,Pennsylvania,Temple University,Statistics and Data Science,"6,486,433 BDT / year",1 year,4.2,75,2%,https://www.mastersportal.com/studies/470443/statistics-and-data-science.html?ref=search_card
United Kingdom,England,"Birkbeck, University of London",Data Science and AI,"3,262,951 BDT / year",1 year,4,32,3%,https://www.mastersportal.com/studies/474448/data-science-and-ai.html?ref=search_card
United States,Alabama,The University of Alabama at Birmingham,Artificial Intelligence in Medicine,"7,913,081 BDT / year",1 year,3.5,13,3%,https://www.mastersportal.com/studies/470015/artificial-intelligence-in-medicine.html?ref=search_card
United Kingdom,England,Oxford Brookes University,Data Science and Artificial Intelligence,"3,144,240 BDT / year",1 year,4.1,93,4%,https://www.mastersportal.com/studies/471887/data-science-and-artificial-intelligence.html?ref=search_card
United States,Washington,Western Washington University,Computer Science,"3,255,344 BDT / year",2 years,4.3,9,8%,https://www.mastersportal.com/studies/128501/computer-science.html?ref=search_card
United Arab Emirates,Sharjah,American University of Sharjah (AUS),Computer Engineering,"5,193,582 BDT / year",1 year,4,20,4%,https://www.mastersportal.com/studies/138513/computer-engineering.html?ref=search_card
United Kingdom,England,University of Warwick,Research in Computer Science,"4,158,096 BDT / year",1 year,4.4,140,0.50%,https://www.mastersportal.com/studies/134968/research-in-computer-science.html?ref=search_card
Canada,Saskatoon,University of Saskatchewan,Geological Sciences,"1,062,839 BDT / year",2 years,4.1,61,2%,https://www.mastersportal.com/studies/128353/geological-sciences.html?ref=search_card
United States,California,San Diego State University,Computer Science,"1,255,881 BDT / year",1 year,4.4,40,4%,https://www.mastersportal.com/studies/127018/computer-science.html?ref=search_card
United States,New York,The New School,Data Visualization,"7,567,873 BDT / year",1 year,4.3,18,8%,https://www.mastersportal.com/studies/129969/data-visualization.html?ref=search_card
United States,Ohio,Ohio University,Geological Sciences,"4,090,312 BDT / year",1 year,4.5,34,3%,https://www.mastersportal.com/studies/126215/geological-sciences.html?ref=search_card
United States,Michigan,Oakland University,Computer Science,"2,541,285 BDT / year",1 year,3.5,4,9%,https://www.mastersportal.com/studies/137946/computer-science.html?ref=search_card
Germany,Kamp-Lintfort,Rhine-Waal University of Applied Sciences,Information Engineering and Computer Science,Free,1½ year,4.1,32,,https://www.mastersportal.com/studies/131257/information-engineering-and-computer-science.html?ref=search_card
United States,Virginia,Old Dominion University,Modeling & Simulation,"4,906,169 BDT / year",1 year,4.3,13,5%,https://www.mastersportal.com/studies/131985/modeling-simulation.html?ref=search_card
United States,California,Stanford University,Symbolic Systems,"3,243,829 BDT / year",2 years,4.1,56,0.10%,https://www.mastersportal.com/studies/135794/symbolic-systems.html?ref=search_card
United States,North Carolina,University of North Carolina Chapel Hill,Computer Science,"3,604,227 BDT / year",1 year,4.5,13,0.50%,https://www.mastersportal.com/studies/117282/computer-science.html?ref=search_card
United Kingdom,England,Oxford Brookes University,Computer Science for Cyber Security,"3,144,240 BDT / year",1 year,4.1,93,4%,https://www.mastersportal.com/studies/141468/computer-science-for-cyber-security.html?ref=search_card
Germany,Freiberg,TU Bergakademie Freiberg,Computational Materials Science,Free,2 years,4.5,21,6%,https://www.mastersportal.com/studies/142324/computational-materials-science.html?ref=search_card
United States,California,University of San Diego,Cyber Security Engineering,"2,844,476 BDT / year","1 year, 8 months",4.1,8,9%,https://www.mastersportal.com/studies/138550/cyber-security-engineering.html?ref=search_card
United States,Illinois,DePaul University,Game Programming,"6,261,766 BDT / year",1 year,4,21,9%,https://www.mastersportal.com/studies/132521/game-programming.html?ref=search_card
United States,Arizona,Arizona State University,Information Technology,"3,717,663 BDT / year",1 year,4.3,242,1%,https://www.mastersportal.com/studies/131813/information-technology.html?ref=search_card
United States,New Mexico,New Mexico Institute of Mining and Technology,Computer Science,"3,519,457 BDT / year",2 years,4.2,6,,https://www.mastersportal.com/studies/131613/computer-science.html?ref=search_card
United States,Virginia,George Mason University,Applied Information Technology,"4,468,840 BDT / year",,4,105,3%,https://www.mastersportal.com/studies/63110/applied-information-technology.html?ref=search_card
United States,Rhode Island,Brown University,Computer Science,"1,299,247 BDT / module",1 year,4.6,16,0.50%,https://www.mastersportal.com/studies/61115/computer-science.html?ref=search_card
United Kingdom,Wales,Aberystwyth University,Advanced Computer Science (with integrated industrial placement),"3,595,021 BDT / year","1 year, 5 months",4.2,39,5%,https://www.mastersportal.com/studies/473922/advanced-computer-science.html?ref=search_card
United Kingdom,England,Imperial,Geotechnical Engineering with Data Science,"7,218,917 BDT / year",1 year,4.3,56,0.10%,https://www.mastersportal.com/studies/486642/geotechnical-engineering-with-data-science.html?ref=search_card
United States,New York,Rochester Institute of Technology,Cybersecurity,"3,902,691 BDT / year",1 year,4.3,65,4%,https://www.mastersportal.com/studies/488148/cybersecurity.html?ref=search_card
United States,New York,Columbia University,Environmental Health Data Science,"7,930,721 BDT / year",1 year,4.3,95,0.10%,https://www.mastersportal.com/studies/478539/environmental-health-data-science.html?ref=search_card
United States,New York,Columbia University,"Data, Learning, and Society","4,176,797 BDT / year",2 years,4.3,95,0.10%,https://www.mastersportal.com/studies/478547/data-learning-and-society.html?ref=search_card
United States,New York,Weill Cornell Medical College,Health Informatics,"9,080,272 BDT / year",1 year,4,1,,https://www.mastersportal.com/studies/482755/health-informatics.html?ref=search_card
Malaysia,Tapah Road,Universiti Pendidikan Sultan Idris,Computer Graphics and Animation,"340,387 BDT / year",2 years,5,1,6%,https://www.mastersportal.com/studies/482821/computer-graphics-and-animation.html?ref=search_card
United Kingdom,England,Newcastle University,Data Science and Finance,"5,085,326 BDT / year",1 year,4.3,90,1%,https://www.mastersportal.com/studies/488390/data-science-and-finance.html?ref=search_card
Ireland,Athlone,Technological University of the Shannon,Digital Marketing and Analytics (Athlone),"2,044,129 BDT / year",1 year,4.2,19,,https://www.mastersportal.com/studies/485876/digital-marketing-and-analytics.html?ref=search_card
United States,California,University of the West,Science and Technology - Healthcare Data Science and Analytics,,,4.1,9,,https://www.mastersportal.com/studies/481633/science-and-technology-healthcare-data-science-and-analytics.html?ref=search_card
United Kingdom,England,Bournemouth University,Cyber Security,"2,727,147 BDT / year",1 year,4.1,76,4%,https://www.mastersportal.com/studies/478203/cyber-security.html?ref=search_card
Netherlands,Amsterdam,Vrije Universiteit Amsterdam,Tinbergen Institute Research Master in Economics - Business Data Science,"2,889,975 BDT / year",2 years,4.2,149,1%,https://www.mastersportal.com/studies/486587/tinbergen-institute-research-master-in-economics-business-data-science.html?ref=search_card
Iceland,Reykjavik,Reykjavík University,Artificial Intelligence,"1,953,268 BDT / year",2 years,4.5,6,9%,https://www.mastersportal.com/studies/488049/artificial-intelligence.html?ref=search_card
United States,Massachusetts,Western New England University,Computer Science,"2,434,709 BDT / year",2 years,4,2,,https://www.mastersportal.com/studies/479799/computer-science.html?ref=search_card
United Kingdom,England,Imperial,Renewable Energy with AI and Data Science - Geology and Geophysics,"7,379,338 BDT / year",1 year,4.3,56,0.10%,https://www.mastersportal.com/studies/486647/renewable-energy-with-ai-and-data-science-geology-and-geophysics.html?ref=search_card
Turkey,Istanbul,Sabanci University,Computer Science and Engineering,"3,001,277 BDT / year",2 years,4.3,84,3%,https://www.mastersportal.com/studies/483835/computer-science-and-engineering.html?ref=search_card
United States,Illinois,Bradley University,Computer Information Systems,"4,171,162 BDT / year",1 year,4.4,59,,https://www.mastersportal.com/studies/183740/computer-information-systems.html?ref=search_card
United States,Texas,Texas A&M University–Commerce,Business Analytics,"1,798,561 BDT / year",1½ year,4,1,,https://www.mastersportal.com/studies/190877/business-analytics.html?ref=search_card
United States,New York,University of Massachusetts Dartmouth,Data Science,"2,695 BDT / year",1 year,4.3,4,5%,https://www.mastersportal.com/studies/165480/data-science.html?ref=search_card
United States,New York,University at Buffalo,Engineering Science (Data Science),"3,153,178 BDT / year",1 year,4.3,50,2%,https://www.mastersportal.com/studies/152893/engineering-science.html?ref=search_card
