Country,City,University Name,Program Name,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
United Kingdom,England,Bournemouth University,Data Science and Artificial Intelligence,"3,007,882 BDT / year",1 year,4.1,76,4%,https://www.mastersportal.com/studies/283155/data-science-and-artificial-intelligence.html?ref=search_card
United Kingdom,England,University of Birmingham,Electronic and Computer Engineering,"5,374,083 BDT / year",1 year,4.2,69,0.50%,https://www.mastersportal.com/studies/2880/electronic-and-computer-engineering.html?ref=search_card
United Kingdom,Wales,Bangor University,Artificial Intelligence and Data Science,"3,208,408 BDT / year",1 year,4.4,79,3%,https://www.mastersportal.com/studies/458570/artificial-intelligence-and-data-science.html?ref=search_card
United Kingdom,England,University of Westminster,Cyber Security and Forensics,"2,807,357 BDT / year",1 year,4.3,129,6%,https://www.mastersportal.com/studies/134796/cyber-security-and-forensics.html?ref=search_card
Canada,Oshawa,Trent University,Big Data Analytics Stream: Applied Modelling and Quantitative Methods,"430,228 BDT / year","1 year, 4 months",4.3,46,9%,https://www.mastersportal.com/studies/137875/big-data-analytics-stream-applied-modelling-and-quantitative-methods.html?ref=search_card
United Kingdom,England,UWE Bristol (University of the West of England),Data Science,"2,887,567 BDT / year",1 year,4.4,110,4%,https://www.mastersportal.com/studies/293556/data-science.html?ref=search_card
United States,Georgia,Kennesaw State University,Data Science and Analytics,"2,467,417 BDT / year",2 years,4.2,18,9%,https://www.mastersportal.com/studies/130330/data-science-and-analytics.html?ref=search_card
China,Suzhou,Xi'an Jiaotong-Liverpool University,Business Analytics,"2,068,358 BDT / year",1½ year,4.2,19,4%,https://www.mastersportal.com/studies/81946/business-analytics.html?ref=search_card
United Kingdom,England,University of Westminster,Data and Marketing Analytics,"3,128,198 BDT / year",1 year,4.3,129,6%,https://www.mastersportal.com/studies/478725/data-and-marketing-analytics.html?ref=search_card
United Kingdom,England,Loughborough University,Management and Artificial Intelligence,"4,956,990 BDT / year",1 year,4.4,54,2%,https://www.mastersportal.com/studies/476593/management-and-artificial-intelligence.html?ref=search_card
United Kingdom,England,University of Portsmouth,Artificial Intelligence and Machine Learning,"3,080,071 BDT / year",1 year,4,113,3%,https://www.mastersportal.com/studies/370370/artificial-intelligence-and-machine-learning.html?ref=search_card
United Kingdom,England,University of Greenwich,Applied Artificial Intelligence for Engineering,"2,999,861 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/454824/applied-artificial-intelligence-for-engineering.html?ref=search_card
Germany,Berlin,IU International University of Applied Sciences,Computer Science,,2 years,4.3,284,,https://www.mastersportal.com/studies/293702/computer-science.html?ref=search_card
Austria,Sankt Pölten,USTP – University of Applied Sciences St. Pölten,Cyber Security and Resilience,"422,923 BDT / year",2 years,4.6,405,,https://www.mastersportal.com/studies/292681/cyber-security-and-resilience.html?ref=search_card
United Kingdom,England,University of Greenwich,Management of Business Information Technology,"2,999,861 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/23573/management-of-business-information-technology.html?ref=search_card
United States,Georgia,Kennesaw State University,Artificial Intelligence,"2,467,417 BDT / year",1 year,4.2,18,9%,https://www.mastersportal.com/studies/459234/artificial-intelligence.html?ref=search_card
Australia,Tasmania,University of Tasmania,Environmental Geospatial Science,"3,399,115 BDT / year",2 years,4.1,18,2%,https://www.mastersportal.com/studies/386199/environmental-geospatial-science.html?ref=search_card
United States,New Hampshire,New England College,Data Science and Analytics,"1,886,027 BDT / year",1½ year,1.5,2,,https://www.mastersportal.com/studies/386904/data-science-and-analytics.html?ref=search_card
China,Suzhou,Xi'an Jiaotong-Liverpool University,Applied Informatics,"2,068,358 BDT / year",1½ year,4.2,19,4%,https://www.mastersportal.com/studies/81839/applied-informatics.html?ref=search_card
Germany,Berlin,IU International University of Applied Sciences,Artificial Intelligence,,2 years,4.3,284,,https://www.mastersportal.com/studies/328060/artificial-intelligence.html?ref=search_card
United Kingdom,England,Loughborough University,Advanced Computer Science,"4,804,591 BDT / year",1 year,4.4,54,2%,https://www.mastersportal.com/studies/465962/advanced-computer-science.html?ref=search_card
United Kingdom,England,University of Portsmouth,Cyber Security and Forensic Information Technology,"3,080,071 BDT / year",1 year,4,113,3%,https://www.mastersportal.com/studies/4414/cyber-security-and-forensic-information-technology.html?ref=search_card
United Kingdom,England,Brunel University of London,Human-AI Interaction,"3,977,623 BDT / year",1 year,3.9,154,2%,https://www.mastersportal.com/studies/477865/human-ai-interaction.html?ref=search_card
United Kingdom,England,University of Bradford,Applied Artificial Intelligence and Data Analytics,"3,447,434 BDT / year",1 year,4.4,54,4%,https://www.mastersportal.com/studies/309550/applied-artificial-intelligence-and-data-analytics.html?ref=search_card
United Kingdom,England,Queen Mary University of London,Artificial Intelligence,"5,374,083 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/227096/artificial-intelligence.html?ref=search_card
United Kingdom,England,University of Greenwich,Data Science,"2,999,861 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/318763/data-science.html?ref=search_card
