Program Name,University Name,City,Country,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
,,N/A,N/A,,,,,,
,,N/A,N/A,,,,,,
Computer Engineering,University of Tulsa,Oklahoma,United States,"3,248,928 BDT / year",2 years,3.8,4,5%,https://www.mastersportal.com/studies/340449/computer-engineering.html?ref=search_card
Data Analytics in Accounting and Finance,European University Cyprus (EUC),Nicosia,Cyprus,"837,596 BDT / year",1½ year,4,60,9%,https://www.mastersportal.com/studies/475071/data-analytics-in-accounting-and-finance.html?ref=search_card
Computer Information Systems,New England College,New Hampshire,United States,"1,885,289 BDT / year",1½ year,1.5,2,,https://www.mastersportal.com/studies/216584/computer-information-systems.html?ref=search_card
Computer Science (by Research),Sunway University,Kuala Lumpur,Malaysia,"1,366,088 BDT / year",2 years,4.1,20,3%,https://www.mastersportal.com/studies/346577/computer-science.html?ref=search_card
Cloud Computing,University of Leicester,England,United Kingdom,"3,787,848 BDT / year",1 year,4.3,91,2%,https://www.mastersportal.com/studies/262576/cloud-computing.html?ref=search_card
Actuarial Science and Data Analytics,Queen Mary University of London,England,United Kingdom,"5,365,451 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/450317/actuarial-science-and-data-analytics.html?ref=search_card
Data and Business Analytics,Rennes School of Business,Rennes,France,"1,974,133 BDT / year",2 years,4.2,39,,https://www.mastersportal.com/studies/467180/data-and-business-analytics.html?ref=search_card
Venture Creation,National University of Singapore,Singapore,Singapore,"5,636,063 BDT / year",1 year,4.4,64,0.5%,https://www.mastersportal.com/studies/304486/venture-creation.html?ref=search_card
International Business (Extended) with Data Analytics and Advanced Practice,Ulster University,Derry,Ireland,"3,803,064 BDT / year",2 years,4.2,57,3%,https://www.mastersportal.com/studies/467271/international-business-with-data-analytics-and-advanced-practice.html?ref=search_card
Front-end Development,Harbour.Space Institute of Technology,Barcelona,Spain,"3,229,118 BDT / year",1 year,4.2,44,,https://www.mastersportal.com/studies/317019/front-end-development.html?ref=search_card
Business Analytics and Artificial Intelligence,NIT – the Private Business School at the Hamburg University of Technology (TUHH),Hamburg,Germany,"2,097,657 BDT / year",2 years,4.7,23,,https://www.mastersportal.com/studies/483062/business-analytics-and-artificial-intelligence.html?ref=search_card
User Experience Management and Design,PFH Private University of Applied Sciences,Göttingen,Germany,"1,438,297 BDT / year",1½ year,3.9,11,,https://www.mastersportal.com/studies/321817/user-experience-management-and-design.html?ref=search_card
Statistics and Computational Finance,University of York,England,United Kingdom,"5,397,484 BDT / year",1 year,4.3,136,1%,https://www.mastersportal.com/studies/58884/statistics-and-computational-finance.html?ref=search_card
Computer Science - Cyber Security,SRH University,N/A,Multiple locations,"1,960,032 BDT / year",2 years,4.2,33,,https://www.mastersportal.com/studies/275202/computer-science-cyber-security.html?ref=search_card
Geographic Data Science,University of Liverpool,England,United Kingdom,"4,532,605 BDT / year",1 year,4.3,114,1%,https://www.mastersportal.com/studies/288274/geographic-data-science.html?ref=search_card
Data Science,University of Bristol,England,United Kingdom,"5,845,939 BDT / year",1 year,4.3,99,0.5%,https://www.mastersportal.com/studies/433166/data-science.html?ref=search_card
,,N/A,N/A,,,,,,
Data Science,Teesside University,England,United Kingdom,"2,722,766 BDT / year",1 year,4.3,83,7%,https://www.mastersportal.com/studies/271167/data-science.html?ref=search_card
Advanced Computer Science,Newcastle University,England,United Kingdom,"5,077,158 BDT / year",1 year,4.3,90,1%,https://www.mastersportal.com/studies/27789/advanced-computer-science.html?ref=search_card
Cybersecurity with an Emphasis in Data Analytics - San Antonio,Webster University,Texas,United States,"2,467,432 BDT / year",1½ year,4,13,,https://www.mastersportal.com/studies/484748/cybersecurity-with-an-emphasis-in-data-analytics-san-antonio.html?ref=search_card
Computer Science,University of Idaho,Idaho,United States,"3,790,416 BDT / year",1 year,4.3,9,6%,https://www.mastersportal.com/studies/66987/computer-science.html?ref=search_card
,,N/A,N/A,,,,,,
,,N/A,N/A,,,,,,
Internet of Things with Industrial Placement,Ulster University,N Ireland,United Kingdom,"3,803,064 BDT / year",2 years,4.2,57,3%,https://www.mastersportal.com/studies/458320/internet-of-things-with-industrial-placement.html?ref=search_card
Business Analytics,Xavier University,Ohio,United States,"3,460,527 BDT / year",1 year,3.8,19,,https://www.mastersportal.com/studies/175944/business-analytics.html?ref=search_card
User Experience Design (one year),Jönköping University,Jönköping,Sweden,"2,179,331 BDT / year",1 year,4.3,40,6%,https://www.mastersportal.com/studies/317221/user-experience-design.html?ref=search_card
Business Analytics and Artificial Intelligence,IE New York College,New York,United States,"7,402,295 BDT / full",11 months,,,,https://www.mastersportal.com/studies/480205/business-analytics-and-artificial-intelligence.html?ref=search_card
Applied Data Science,Teesside University,England,United Kingdom,"2,722,766 BDT / year",1 year,4.3,83,7%,https://www.mastersportal.com/studies/313363/applied-data-science.html?ref=search_card
Data Science,Harbour.Space Institute of Technology,Bangkok,Thailand,"3,229,118 BDT / year",1 year,4.2,44,,https://www.mastersportal.com/studies/288792/data-science.html?ref=search_card
Data Science,Pace University,N/A,Multiple locations,"3,067,452 BDT / year",2 years,4.1,85,,https://www.mastersportal.com/studies/342417/data-science.html?ref=search_card
Cyber Security,London Metropolitan University,England,United Kingdom,"3,203,254 BDT / year",1 year,4.2,136,7%,https://www.mastersportal.com/studies/464138/cyber-security.html?ref=search_card
Geomatics and Management,University of Glasgow,Scotland,United Kingdom,"5,093,175 BDT / year",1 year,4.3,122,0.5%,https://www.mastersportal.com/studies/25118/geomatics-and-management.html?ref=search_card
Cybercrime Investigation,The University of Lancashire,England,United Kingdom,"2,866,913 BDT / year",1 year,4.1,63,5%,https://www.mastersportal.com/studies/140489/cybercrime-investigation.html?ref=search_card
Data Analytics,University of Portsmouth,England,United Kingdom,"3,075,124 BDT / year",1 year,4,113,3%,https://www.mastersportal.com/studies/198637/data-analytics.html?ref=search_card
Information Technology and International Business,University of Dundee,Scotland,United Kingdom,"4,468,540 BDT / year",1 year,4.1,67,2%,https://www.mastersportal.com/studies/25010/information-technology-and-international-business.html?ref=search_card
Information Systems for Business Performance,University College Cork,Cork,Ireland,"2,777,887 BDT / year",1 year,4.3,173,2%,https://www.mastersportal.com/studies/459853/information-systems-for-business-performance.html?ref=search_card
Responsible Information Systems Development,LUT University,Lappeenranta,Finland,"2,115,143 BDT / year",2 years,4.7,36,3%,https://www.mastersportal.com/studies/480088/responsible-information-systems-development.html?ref=search_card
International Financial Analyst,INSEEC Grand École - Business School,Bordeaux,France,"1,718,906 BDT / year",1 year,4.4,17,,https://www.mastersportal.com/studies/428247/international-financial-analyst.html?ref=search_card
Advanced Computer Science,Cardiff University,Wales,United Kingdom,,1 year,4.4,170,1%,https://www.mastersportal.com/studies/31736/advanced-computer-science.html?ref=search_card
,,N/A,N/A,,,,,,
Autonomous Systems,Technical University of Denmark (DTU),Kongens Lyngby,Denmark,"2,115,143 BDT / year",2 years,4.2,122,1%,https://www.mastersportal.com/studies/277826/autonomous-systems.html?ref=search_card
Cyber Security,Sheffield Hallam University,England,United Kingdom,"2,979,027 BDT / year",1 year,4.2,89,5%,https://www.mastersportal.com/studies/273125/cyber-security.html?ref=search_card
Business Analytics,SBS Swiss Business School Barcelona,Barcelona,Spain,"2,478,242 BDT / year",1 year,,,,https://www.mastersportal.com/studies/426818/business-analytics.html?ref=search_card
Digital Supply Chain Management,SRH University,Berlin,Germany,"1,960,032 BDT / year",2 years,4.2,33,,https://www.mastersportal.com/studies/386539/digital-supply-chain-management.html?ref=search_card
,,N/A,N/A,,,,,,
,,N/A,N/A,,,,,,
Operational Research with Data Science,The University of Edinburgh,Scotland,United Kingdom,"5,317,402 BDT / year",1 year,4.1,150,0.5%,https://www.mastersportal.com/studies/235767/operational-research-with-data-science.html?ref=search_card
Software Engineering,University of Michigan - Dearborn,Michigan,United States,"3,800,947 BDT / year",1 year,4.6,10,,https://www.mastersportal.com/studies/183662/software-engineering.html?ref=search_card
Data-Centric Engineering,LUT University,Lappeenranta,Finland,"2,115,143 BDT / year",2 years,4.7,36,3%,https://www.mastersportal.com/studies/299445/data-centric-engineering.html?ref=search_card
Geographical Information Systems and Environmental Management,University of Brighton,England,United Kingdom,"2,866,913 BDT / year",1 year,4.1,52,4%,https://www.mastersportal.com/studies/11341/geographical-information-systems-and-environmental-management.html?ref=search_card
Data Science for Business,University of Bristol,England,United Kingdom,"5,429,516 BDT / year",1 year,4.3,99,0.5%,https://www.mastersportal.com/studies/468404/data-science-for-business.html?ref=search_card
Business Intelligence and Data Science,International School of Management (ISM),N/A,Multiple locations,"1,827,483 BDT / year",2 years,4.3,157,,https://www.mastersportal.com/studies/282322/business-intelligence-and-data-science.html?ref=search_card
Computer Engineering,University of Cyprus,Nicosia,Cyprus,"481,688 BDT / year",1½ year,4.1,115,3%,https://www.mastersportal.com/studies/371064/computer-engineering.html?ref=search_card
Social Data Science,University of Essex,England,United Kingdom,"3,763,824 BDT / year",1 year,4.2,104,2%,https://www.mastersportal.com/studies/314220/social-data-science.html?ref=search_card
Cybersecurity Operations - San Antonio,Webster University,Texas,United States,"2,277,629 BDT / year",1½ year,4,13,,https://www.mastersportal.com/studies/484746/cybersecurity-operations-san-antonio.html?ref=search_card
Geographical Information Systems and Remote Sensing,Maynooth University,Maynooth,Ireland,"2,256,152 BDT / year",1 year,4.2,63,4%,https://www.mastersportal.com/studies/16713/geographical-information-systems-and-remote-sensing.html?ref=search_card
Smart Manufacturing Systems (Part-time),Ulster University,Derry,Ireland,"3,803,064 BDT / year",2 years,4.2,57,3%,https://www.mastersportal.com/studies/319141/smart-manufacturing-systems.html?ref=search_card
International Business with Data Analytics (Part-time),Ulster University,Derry,Ireland,"15,856 BDT / year",2 years,4.2,57,3%,https://www.mastersportal.com/studies/318948/international-business-with-data-analytics.html?ref=search_card
Information Systems Software Engineering,VILNIUS TECH,Vilnius,Lithuania,"839,007 BDT / year",2 years,4.3,66,7%,https://www.mastersportal.com/studies/390741/information-systems-software-engineering.html?ref=search_card
AI and Automation (1 year),University West,Trollhättan,Sweden,"1,794,743 BDT / year",1 year,3.8,27,,https://www.mastersportal.com/studies/366919/ai-and-automation.html?ref=search_card
Computer Science,Harbour.Space Institute of Technology,Barcelona,Spain,"3,229,118 BDT / year",1 year,4.2,44,,https://www.mastersportal.com/studies/288800/computer-science.html?ref=search_card
Computing and IT Management,Cardiff University,Wales,United Kingdom,,1 year,4.4,170,1%,https://www.mastersportal.com/studies/31738/computing-and-it-management.html?ref=search_card
,,N/A,N/A,,,,,,
Applied Data Science,University of Sunderland,England,United Kingdom,"3,043,092 BDT / year",2 years,4.2,126,,https://www.mastersportal.com/studies/347022/applied-data-science.html?ref=search_card
Data Management and Artificial Intelligence,Écoles d'Ingénieurs - Engineering School (ECE),Bordeaux,France,"1,577,896 BDT / year",2 years,4,2,,https://www.mastersportal.com/studies/466425/data-management-and-artificial-intelligence.html?ref=search_card
Cyber Intelligence and Security,Embry-Riddle Aeronautical University,Arizona,United States,"2,932,264 BDT / year",2 years,2.7,3,8%,https://www.mastersportal.com/studies/340837/cyber-intelligence-and-security.html?ref=search_card
Applied Health Research,University of Birmingham,England,United Kingdom,"4,694,369 BDT / year",1 year,4.2,69,0.5%,https://www.mastersportal.com/studies/391794/applied-health-research.html?ref=search_card
,,N/A,N/A,,,,,,
,,N/A,N/A,,,,,,
Information Technology,University of Derby,England,United Kingdom,"2,706,750 BDT / year",1 year,4.4,120,6%,https://www.mastersportal.com/studies/3803/information-technology.html?ref=search_card
Computational Data Science,"University of California, Riverside",California,United States,"2,305,549 BDT / year",,4.8,8,2%,https://www.mastersportal.com/studies/486092/computational-data-science.html?ref=search_card
Professional Software Development (Data Science),Ulster University,Derry,Ireland,"2,852,498 BDT / year",1 year,4.2,57,3%,https://www.mastersportal.com/studies/399400/professional-software-development.html?ref=search_card
"Politics, Communications and Data Analytics",University of Essex,England,United Kingdom,"3,643,702 BDT / year",1 year,4.2,104,2%,https://www.mastersportal.com/studies/349648/politics-communications-and-data-analytics.html?ref=search_card
Financial Technology with Data Science,University of Bristol,England,United Kingdom,"5,845,939 BDT / year",1 year,4.3,99,0.5%,https://www.mastersportal.com/studies/304379/financial-technology-with-data-science.html?ref=search_card
Computing Science (Part Time),University of East Anglia,England,United Kingdom,"3,923,987 BDT / year",2 years,4.4,39,2%,https://www.mastersportal.com/studies/282631/computing-science.html?ref=search_card
Natural Language Processing,Cardiff University,Wales,United Kingdom,,1 year,4.4,170,1%,https://www.mastersportal.com/studies/377521/natural-language-processing.html?ref=search_card
Communication System and Network Engineering,IMT Atlantique - Graduate Engineering School,N/A,Multiple locations,"916,562 BDT / year",2 years,3.9,30,5%,https://www.mastersportal.com/studies/233059/communication-system-and-network-engineering.html?ref=search_card
Information and Cyber Security (with Advanced Practice),Teesside University London,England,United Kingdom,"1,601,627 BDT / year",,,,,https://www.mastersportal.com/studies/478121/information-and-cyber-security.html?ref=search_card
Management Information Systems,"University of Nevada, Las Vegas",Nevada,United States,"3,441,425 BDT / year",1 year,4.1,21,4%,https://www.mastersportal.com/studies/92760/management-information-systems.html?ref=search_card
Digital Marketing and Data Analytics,Grenoble School of Management,N/A,Multiple locations,"1,826,073 BDT / year",1 year,4.7,12,,https://www.mastersportal.com/studies/433127/digital-marketing-and-data-analytics.html?ref=search_card
Artificial Intelligence,Radboud University,Nijmegen,Netherlands,"2,779,861 BDT / year",2 years,4.3,92,1%,https://www.mastersportal.com/studies/16795/artificial-intelligence.html?ref=search_card
Data Science - Align,Northeastern University,N/A,Multiple locations,"3,673,596 BDT / year",2½ years,4.4,79,2%,https://www.mastersportal.com/studies/333968/data-science-align.html?ref=search_card
Applied Artificial Intelligence and User Experience,Abertay University,Scotland,United Kingdom,"2,882,929 BDT / year",1 year,3.7,67,,https://www.mastersportal.com/studies/342887/applied-artificial-intelligence-and-user-experience.html?ref=search_card
Business Analytics,University of Surrey,England,United Kingdom,"3,988,052 BDT / year",1 year,4.4,72,2%,https://www.mastersportal.com/studies/48173/business-analytics.html?ref=search_card
Architecture and Engineering for the Internet of Things,IMT Atlantique - Graduate Engineering School,Rennes,France,"916,562 BDT / year",2 years,3.9,30,5%,https://www.mastersportal.com/studies/233051/architecture-and-engineering-for-the-internet-of-things.html?ref=search_card
,,N/A,N/A,,,,,,
Environmental Modelling and Data Analysis,University of Bristol,England,United Kingdom,"5,221,305 BDT / year",1 year,4.3,99,0.5%,https://www.mastersportal.com/studies/433048/environmental-modelling-and-data-analysis.html?ref=search_card
Applied Statistics and Data Science,Queen Mary University of London,England,United Kingdom,"5,365,451 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/450318/applied-statistics-and-data-science.html?ref=search_card
Theoretical Computer Science,University of Liverpool,England,United Kingdom,"4,933,012 BDT / year",1 year,4.3,114,1%,https://www.mastersportal.com/studies/288211/theoretical-computer-science.html?ref=search_card
Health Data Science,University of Liverpool,England,United Kingdom,"4,660,735 BDT / year",1 year,4.3,114,1%,https://www.mastersportal.com/studies/333379/health-data-science.html?ref=search_card
,,N/A,N/A,,,,,,
,,N/A,N/A,,,,,,
MSc in Data Science for Marketing,Audencia,Paris,France,"1,939,304 BDT / year","2 years, 2 months",3.9,34,,https://www.mastersportal.com/studies/379976/msc-in-data-science-for-marketing.html?ref=search_card
Computing,Teesside University,England,United Kingdom,"2,722,766 BDT / year",1 year,4.3,83,7%,https://www.mastersportal.com/studies/10961/computing.html?ref=search_card
Human-Computer Interaction,Newcastle University,England,United Kingdom,"5,173,256 BDT / year",1 year,4.3,90,1%,https://www.mastersportal.com/studies/301651/human-computer-interaction.html?ref=search_card
Data Science and Artificial Intelligence,Florida International University (FIU),Florida,United States,"2,328,325 BDT / year",2 years,4.3,95,3%,https://www.mastersportal.com/studies/284275/data-science-and-artificial-intelligence.html?ref=search_card
Computer Science,University of Memphis,Tennessee,United States,"4,647,099 BDT / year",1 year,4.4,17,6%,https://www.mastersportal.com/studies/129290/computer-science.html?ref=search_card
Advanced Computer Science,Northumbria University,England,United Kingdom,"3,355,409 BDT / year",1 year,4.2,181,3%,https://www.mastersportal.com/studies/287154/advanced-computer-science.html?ref=search_card
Artificial Intelligence with Industrial Placement,Ulster University,N Ireland,United Kingdom,"3,803,064 BDT / year",2 years,4.2,57,3%,https://www.mastersportal.com/studies/458314/artificial-intelligence-with-industrial-placement.html?ref=search_card
Building Surveying,London Metropolitan University,England,United Kingdom,"3,283,336 BDT / year",1 year,4.2,136,7%,https://www.mastersportal.com/studies/474844/building-surveying.html?ref=search_card
Human Centered Design,Pace University,N/A,Multiple locations,"2,865,405 BDT / year",2 years,4.1,85,,https://www.mastersportal.com/studies/342418/human-centered-design.html?ref=search_card
Data Science and Artificial Intelligence,University of Liverpool,England,United Kingdom,"4,933,012 BDT / year",1 year,4.3,114,1%,https://www.mastersportal.com/studies/317940/data-science-and-artificial-intelligence.html?ref=search_card
Crime Intelligence and Data Analytics (with Advanced Practice),Teesside University,England,United Kingdom,"1,601,627 BDT / year","1 year, 8 months",4.3,83,7%,https://www.mastersportal.com/studies/239356/crime-intelligence-and-data-analytics.html?ref=search_card
Data Science,University of Glasgow,Scotland,United Kingdom,"5,357,443 BDT / year",1 year,4.3,122,0.5%,https://www.mastersportal.com/studies/63252/data-science.html?ref=search_card
Cybersecurity Management,Écoles d'Ingénieurs - Engineering School (ECE),Bordeaux,France,"1,544,054 BDT / year",2 years,4,2,,https://www.mastersportal.com/studies/472149/cybersecurity-management.html?ref=search_card
Business with Digital Management,UWE Bristol (University of the West of England),England,United Kingdom,"2,722,766 BDT / year",1 year,4.4,110,4%,https://www.mastersportal.com/studies/468870/business-with-digital-management.html?ref=search_card
Computing (with Major Options),Dublin City University,Dublin,Ireland,"3,525,238 BDT / year",1 year,4.3,148,3%,https://www.mastersportal.com/studies/89411/computing.html?ref=search_card
Data Science,University of Sunderland,England,United Kingdom,"2,722,766 BDT / year",1 year,4.2,126,,https://www.mastersportal.com/studies/165754/data-science.html?ref=search_card
,,N/A,N/A,,,,,,
Mathematical Foundations of Computer Science,Radboud University,Nijmegen,Netherlands,"2,710,767 BDT / year",2 years,4.3,92,1%,https://www.mastersportal.com/studies/117032/mathematical-foundations-of-computer-science.html?ref=search_card
Artificial Intelligence,London Metropolitan University,England,United Kingdom,"3,203,254 BDT / year",1 year,4.2,136,7%,https://www.mastersportal.com/studies/304457/artificial-intelligence.html?ref=search_card
Optoelectronic and Quantum Technologies,University of Bristol,England,United Kingdom,"5,910,004 BDT / year",1 year,4.3,99,0.5%,https://www.mastersportal.com/studies/433138/optoelectronic-and-quantum-technologies.html?ref=search_card
Computer Science (Align),Northeastern University,N/A,Multiple locations,"3,306,236 BDT / year",2½ years,4.4,79,2%,https://www.mastersportal.com/studies/374757/computer-science.html?ref=search_card
,,N/A,N/A,,,,,,
,,N/A,N/A,,,,,,
Business Analytics,University of Bristol,England,United Kingdom,"5,429,516 BDT / year",1 year,4.3,99,0.5%,https://www.mastersportal.com/studies/304377/business-analytics.html?ref=search_card
Digital Business and Data Analytics,University of Reading,England,United Kingdom,"4,324,394 BDT / year",1 year,4.3,35,2%,https://www.mastersportal.com/studies/264516/digital-business-and-data-analytics.html?ref=search_card
Data Analytics and AI,University of Nottingham,England,United Kingdom,,1 year,4.3,127,0.5%,https://www.mastersportal.com/studies/481621/data-analytics-and-ai.html?ref=search_card
Data Science (Information Studies),University of Amsterdam,Amsterdam,Netherlands,"4,836,626 BDT / year",1 year,4.2,125,0.5%,https://www.mastersportal.com/studies/191033/data-science.html?ref=search_card
Artificial Intelligence,University of Plymouth,England,United Kingdom,"3,267,320 BDT / year",1 year,4.3,104,3%,https://www.mastersportal.com/studies/312109/artificial-intelligence.html?ref=search_card
International Accounting and Analytics - Pathway B,University of Galway,Galway,Ireland,"1,903,628 BDT / year",1 year,4.1,86,2%,https://www.mastersportal.com/studies/315508/international-accounting-and-analytics-pathway-b.html?ref=search_card
Advanced Computer Networks (Work Experience),Sheffield Hallam University,England,United Kingdom,"1,539,484 BDT / year",2 years,4.2,89,5%,https://www.mastersportal.com/studies/444430/advanced-computer-networks.html?ref=search_card
Data Science for Environmental Sustainability,Cardiff University,Wales,United Kingdom,,1 year,4.4,170,1%,https://www.mastersportal.com/studies/472768/data-science-for-environmental-sustainability.html?ref=search_card
Business Analytics,University of Dundee,Scotland,United Kingdom,"3,683,743 BDT / year",1 year,4.1,67,2%,https://www.mastersportal.com/studies/349510/business-analytics.html?ref=search_card
Communications and Signal Processing,Newcastle University,England,United Kingdom,"4,812,890 BDT / year",1 year,4.3,90,1%,https://www.mastersportal.com/studies/7173/communications-and-signal-processing.html?ref=search_card
Computing (Work Experience),Sheffield Hallam University,England,United Kingdom,"1,539,484 BDT / year",2 years,4.2,89,5%,https://www.mastersportal.com/studies/444434/computing.html?ref=search_card
Logic,University of Amsterdam,Amsterdam,Netherlands,"3,666,247 BDT / year",2 years,4.2,125,0.5%,https://www.mastersportal.com/studies/814/logic.html?ref=search_card
Business Analytics,University of Birmingham,England,United Kingdom,"5,391,077 BDT / year",1 year,4.2,69,0.5%,https://www.mastersportal.com/studies/367425/business-analytics.html?ref=search_card
Advanced Data Science,Bangor University,Wales,United Kingdom,"3,203,254 BDT / year",1 year,4.4,79,3%,https://www.mastersportal.com/studies/326463/advanced-data-science.html?ref=search_card
Cloud Computing,Newcastle University,England,United Kingdom,"5,077,158 BDT / year",1 year,4.3,90,1%,https://www.mastersportal.com/studies/7157/cloud-computing.html?ref=search_card
Human - Centred Interactive Technologies,University of York,England,United Kingdom,"5,109,191 BDT / year",1 year,4.3,136,1%,https://www.mastersportal.com/studies/6291/human-centred-interactive-technologies.html?ref=search_card
,,N/A,N/A,,,,,,
Electrical and Computer Engineering,Embry-Riddle Aeronautical University,Florida,United States,"2,961,653 BDT / year",2 years,2.7,3,8%,https://www.mastersportal.com/studies/146493/electrical-and-computer-engineering.html?ref=search_card
Economics and Data Science,University of Nottingham,England,United Kingdom,,1 year,4.3,127,0.5%,https://www.mastersportal.com/studies/341531/economics-and-data-science.html?ref=search_card
Human-Computer Interaction (Information Studies),University of Amsterdam,Amsterdam,Netherlands,"4,836,626 BDT / year",1 year,4.2,125,0.5%,https://www.mastersportal.com/studies/484809/human-computer-interaction.html?ref=search_card
Networking and Data Communications with Management Studies,Kingston University,England,United Kingdom,"3,203,254 BDT / year",1 year,4.1,136,5%,https://www.mastersportal.com/studies/132646/networking-and-data-communications-with-management-studies.html?ref=search_card
,,N/A,N/A,,,,,,
,,N/A,N/A,,,,,,
Automation and Robotics,University of Vaasa,N/A,Multiple locations,"1,974,133 BDT / year",2 years,4.3,20,8%,https://www.mastersportal.com/studies/450533/automation-and-robotics.html?ref=search_card
Business Analytics,Maynooth University,Maynooth,Ireland,"2,538,171 BDT / year",1 year,4.2,63,4%,https://www.mastersportal.com/studies/462248/business-analytics.html?ref=search_card
Data Science,Embry-Riddle Aeronautical University,Florida,United States,"2,961,653 BDT / year",2 years,2.7,3,8%,https://www.mastersportal.com/studies/340770/data-science.html?ref=search_card
Advanced Software Engineering (Distance Learning),University of Leicester,England,United Kingdom,"3,787,848 BDT / year",1 year,4.3,91,2%,https://www.mastersportal.com/studies/262551/advanced-software-engineering.html?ref=search_card
Computer and Information Systems Security,Virginia Commonwealth University,Virginia,United States,"2,442,941 BDT / year",,4.1,17,3%,https://www.mastersportal.com/studies/483543/computer-and-information-systems-security.html?ref=search_card
Information Systems and Technology,University of Michigan - Dearborn,Michigan,United States,"3,800,947 BDT / year",1 year,4.6,10,,https://www.mastersportal.com/studies/183603/information-systems-and-technology.html?ref=search_card
Software Design with Artificial Intelligence,Technological University of the Shannon,Athlone,Ireland,"2,467,666 BDT / year",1 year,4.2,19,,https://www.mastersportal.com/studies/352793/software-design-with-artificial-intelligence.html?ref=search_card
Data Science and Analytics (with Advanced Practice),Teesside University London,England,United Kingdom,"1,601,627 BDT / year",,,,,https://www.mastersportal.com/studies/478117/data-science-and-analytics.html?ref=search_card
Cyber Security,University of East Anglia,England,United Kingdom,"3,923,987 BDT / year",1 year,4.4,39,2%,https://www.mastersportal.com/studies/282456/cyber-security.html?ref=search_card
Advanced Computer Science,Northumbria University,England,United Kingdom,"3,355,409 BDT / year","1 year, 4 months",4.2,181,3%,https://www.mastersportal.com/studies/352367/advanced-computer-science.html?ref=search_card
Electrical and Computer Engineering,Northeastern University,N/A,Multiple locations,"3,779,395 BDT / year",2 years,4.4,79,2%,https://www.mastersportal.com/studies/316529/electrical-and-computer-engineering.html?ref=search_card
Information and Cyber Security,Teesside University London,England,United Kingdom,"2,722,766 BDT / year",1 year,,,,https://www.mastersportal.com/studies/478120/information-and-cyber-security.html?ref=search_card
Mathematics and Data Science,University of Stirling,Scotland,United Kingdom,"3,891,954 BDT / year",1 year,4.2,71,3%,https://www.mastersportal.com/studies/273313/mathematics-and-data-science.html?ref=search_card
AI and Government,University of Birmingham Dubai,Dubai,United Arab Emirates,"5,359,261 BDT / year",1 year,4.3,7,4%,https://www.mastersportal.com/studies/476544/ai-and-government.html?ref=search_card
Cyber Security Technology,Northumbria University,England,United Kingdom,"3,355,409 BDT / year",1 year,4.2,181,3%,https://www.mastersportal.com/studies/352638/cyber-security-technology.html?ref=search_card
Cyber Security,University of Essex,England,United Kingdom,"3,763,824 BDT / year",1 year,4.2,104,2%,https://www.mastersportal.com/studies/474114/cyber-security.html?ref=search_card
,,N/A,N/A,,,,,,
Data Analytics with Banking and Finance (Work Experience),Sheffield Hallam University,England,United Kingdom,"1,539,484 BDT / year",2 years,4.2,89,5%,https://www.mastersportal.com/studies/444405/data-analytics-with-banking-and-finance.html?ref=search_card
Computing,Edinburgh Napier University,Scotland,United Kingdom,"3,432,287 BDT / year",1 year,4.4,81,4%,https://www.mastersportal.com/studies/36677/computing.html?ref=search_card
Information Systems and Operations Management,University of Nottingham,England,United Kingdom,,1 year,4.3,127,0.5%,https://www.mastersportal.com/studies/56216/information-systems-and-operations-management.html?ref=search_card
Information Technology,Abu Dhabi University,Abu Dhabi,United Arab Emirates,"1,417,922 BDT / year",2 years,4,105,5%,https://www.mastersportal.com/studies/293167/information-technology.html?ref=search_card
,,N/A,N/A,,,,,,
,,N/A,N/A,,,,,,
Artificial Intelligence for Media,Bournemouth University,England,United Kingdom,"3,003,051 BDT / year",1 year,4.1,76,4%,https://www.mastersportal.com/studies/332790/artificial-intelligence-for-media.html?ref=search_card
Artificial Intelligence and Data Science,University of Hull,England,United Kingdom,"2,402,441 BDT / year",1 year,4.2,93,3%,https://www.mastersportal.com/studies/332509/artificial-intelligence-and-data-science.html?ref=search_card
Information Technology,Westcliff University,California,United States,"1,805,205 BDT / year",2 years,4.4,7,,https://www.mastersportal.com/studies/280978/information-technology.html?ref=search_card
Artificial Intelligence for Geospatial Data Analysis,University of Hull,England,United Kingdom,"2,402,441 BDT / year",1 year,4.2,93,3%,https://www.mastersportal.com/studies/467080/artificial-intelligence-for-geospatial-data-analysis.html?ref=search_card
Health Data Science,The University of Exeter,England,United Kingdom,"4,949,028 BDT / year",1 year,4.3,119,1%,https://www.mastersportal.com/studies/305571/health-data-science.html?ref=search_card
Cyber Security (Infrastructures Security),University of Bristol,England,United Kingdom,"5,861,956 BDT / year",1 year,4.3,99,0.5%,https://www.mastersportal.com/studies/433061/cyber-security.html?ref=search_card
Applied Cyber Security with Professional Internship,Queen's University Belfast,N Ireland,United Kingdom,"4,132,198 BDT / year",2 years,4.3,88,2%,https://www.mastersportal.com/studies/251210/applied-cyber-security-with-professional-internship.html?ref=search_card
Professional Software Development (Data Science) (Part-time),Ulster University,Derry,Ireland,"3,803,064 BDT / year",3 years,4.2,57,3%,https://www.mastersportal.com/studies/399399/professional-software-development.html?ref=search_card
